epoch,step,loss
0,0,2.428769
0,50,2.012128
0,100,1.883772
0,150,2.107039
0,200,2.669672
1,0,1.953904
1,50,2.543407
1,100,1.863996
1,150,1.797162
1,200,2.035545
2,0,1.845636
2,50,1.724344
2,100,1.828238
2,150,1.541017
2,200,1.757962
